Rusis,Adresas (vietovė),"Talpa, m3"
Plastikas,Kampiškių g. 5,"2,3"
Plastikas,Piliakalnio g. 5,"2,3"
Plastikas,R. Kalantos g. 10,"2,5"
Plastikas,R. Kalantos g. 23,"2,5"
Plastikas,R. Kalantos g. 63,"2,5"
Plastikas,R. Kalantos g. 44,"2,5"
Plastikas,Ekskavatorininkų g. 14,"2,5"
Plastikas,Ekskavatorininkų g. 3 - 5,"2,5"
Plastikas,Ekskavatorininkų g. 1B,"2,3 ir 1,1"
Plastikas,Pažaislio aikštelė,"2,3"
Plastikas,Masiulio g. 17,"2,5"
Plastikas,Gimbutienės g. 10 -12,"2,5"
Plastikas,Masiulio g. 9,"2,5"
Plastikas,Masiulio g. 10,"2,5"
Plastikas,Gimbutienės g. 6,"2,5"
Plastikas,Kalantos gale,"2,5"
Plastikas,Kalantos g. 120,"2,5"
Plastikas,Kalantos g. 106,"2,5"
Plastikas,Marių g. 19 prie Vieškūnų piliakalnio ,"2,5"
Plastikas,Marių g. 60A,"2,5"
Plastikas,Laivenių g. 19,"2,5"
Plastikas,Marių g. 37,"2,5"
Plastikas,Marių g. 16,"2,5"
Plastikas,Stoties g. 10,"2,5"
Plastikas,Marių g. 12,"2,5"
Plastikas,Marių g. 2,"2,5"
Plastikas,Neveronių g. 26,"2,5"
Plastikas,Juozapavičiaus pr. 44,"2,5"
Plastikas,Juozapavičiaus pr. 31,"2,5"
Plastikas,Juozapavičiaus pr. 25,"2,5"
Plastikas,Juozapavičiaus pr. 19,"2,5"
Plastikas,Juozapavičiaus pr. 13,"2,5"
Plastikas,Juozapavičiaus pr. 21a,"2,5"
Plastikas,Vokiečių g. 164,"2,5"
Plastikas,Kranto al. 52,"2,5"
Plastikas,Kranto al. 54,"2,5"
Plastikas,Kranto al. 56,"2,5"
Plastikas,Kranto al. 60,"2,5"
Plastikas,Vokiečių g. 27,"2,5"
Plastikas,Hipodromo g. 42 - 46,"2,5"
Plastikas,Ašmenos II-oji g. 33 - 37,"2,5"
Plastikas,Verkių g. 30,"2,5"
Plastikas,Verkių g. 20A,"2,3"
Plastikas,Verkių g. 18,"2,5"
Plastikas,Prancūzų g. 78,"2,5"
Plastikas,Prancūzų g. RIMI,"2,5"
Plastikas,Prancūzų g. 62A,"2,5"
Plastikas,Prancūzų g. 77,"2,5"
Plastikas,Prancūzų g. 69,"2,5"
Plastikas,Prancūzų g. 45,"2,5"
Plastikas,Prancūzų g. 17,"2,5"
Plastikas,Medvėgalio - Ašmenos g.,"2,5"
Plastikas,Alsėdžių g. 5,"2,5"
Plastikas,Alsėdžių g. 7,"2,5"
Plastikas,Alsėdžių g. 11,"2,5"
Plastikas,Alsėdžių g. 15,"2,5"
Plastikas,Prancūzų g. 68,"2,5"
Plastikas,Prancūzų g. 139,"2,5"
Plastikas,Kuršių g. 3A,"2,3"
Plastikas,Kuršių g. 10,"2,5"
Plastikas,Kuršių g. 6,"2,3"
Plastikas,Kuršių g. 4 ,"2,3"
Plastikas,Lazdynėlių g. 22,"2,3"
Plastikas,Eitkūnų g. 9,"2,3"
Plastikas,IX forto aikštelė,"2,3"
Plastikas,Knygnešių g. 4,"2,5"
Plastikas,Giros g. 6,"2,3"
Plastikas,Baltų pr. 172,5
Plastikas,Baltų pr. 173,"2,5"
Plastikas,Baltų pr. 161,"2,5"
Plastikas,Baltų pr. 149,"2,5"
Plastikas,Baltų pr. 107,"2,5"
Plastikas,Baltų pr. 127,"2,5"
Plastikas,Baltų pr. 95,"2,5"
Plastikas,Žiemgalių g. 19,"2,5"
Plastikas,Baltų pr. 103,"2,5"
Plastikas,Baltų pr. 77,"2,5"
Plastikas,Baltų pr. 53,"2,5"
Plastikas,Baltų pr. 67,"2,5"
Plastikas,Baltų pr. 73,"2,5"
Plastikas,Baltų pr. 21,"2,5"
Plastikas,Baltų pr. 27,"2,5"
Plastikas,Baltų pr. 37,"2,5"
Plastikas,Baltų pr. 13,"2,3"
Plastikas,Rietavo g. 2,"2,5"
Plastikas,Rietavo g. 13,"2,5"
Plastikas,Rietavo g. 17,"2,5"
Plastikas,Grušo g. 31,"2,5"
Plastikas,Baltijos g. 22,"2,5"
Plastikas,Baltijos g. 6,"2,5"
Plastikas,Baltijos g. 11,"2,5"
Plastikas,Baltijos g. 46,"2,5"
Plastikas,Baltijos g. 40,"2,5"
Plastikas,Baltijos g. 70,"2,5"
Plastikas,Baltijos g. 84,"2,5"
Plastikas,Bartuvos g. 8,"2,5"
Plastikas,Naujakurių g. 66,"2,5"
Plastikas,Naujakurių g. 84,"2,5"
Plastikas,Baltijos g. 102,"2,5"
Plastikas,Baltijos g. 63,"2,5"
Plastikas,Apolės g. 44,"2,3"
Plastikas,Baltijos g. 57,"2,5"
Plastikas,Baltijos g. 51,"2,5"
Plastikas,Baltijos g. 45,"2,5"
Plastikas,Baltijos g. 21,"2,5"
Plastikas,Baltų pr. 3,"2,5"
Plastikas,Grušo g. 4,"2,5"
Plastikas,Baltų pr. 4,"2,5"
Plastikas,Rasytės g. 8,"2,3"
Plastikas,Rasytės g. 6,"2,3"
Plastikas,Rasytės g. 16,"2,3"
Plastikas,Rasytės g. 24,"2,5"
Plastikas,Rasytės g. 30,"2,5"
Plastikas,Rasytės g. 32,"2,3"
Plastikas,Rasytės g. 40,"2,5"
Plastikas,Rasytės g. 42,"2,5"
Plastikas,Rasytės g. 50,"2,3"
Plastikas,Kuršių g. 48,"2,3"
Plastikas,Kuršių g. 56,"2,3"
Plastikas,Kuršių g. 58,"2,3"
Plastikas,Vėtrungės g. 10,"2,5"
Plastikas,Vėtrungės g. 4,"2,5"
Plastikas,Šarkuvos g. 29,"2,3"
Plastikas,Šarkuvos g. 19,"2,5"
Plastikas,Šarkuvos g. 26,"2,5"
Plastikas,Šarkuvos g. 14,"2,5"
Plastikas,Šarkuvos g. 13,"2,5"
Plastikas,"Sargėnai, Vandžiogalos g. 8","2,3"
Plastikas,Radviliškio g. 2,"2,5"
Plastikas,Vandžiogalos g. 51,"2,5"
Plastikas,Vandžiogalos g. 84,"2,5"
Plastikas,Pienių g. 4,"2,5"
Plastikas,Pienių g. 12,"2,5"
Plastikas,Pienių g. 6,"2,5"
Plastikas,Pienių g. 8,"2,3"
Plastikas,Neries krantinė 12,"2,5"
Plastikas,Neries krantinė 10,"2,5"
Plastikas,Neries krantinė 7,"2,5"
Plastikas,Neries krantinė 6,"2,5"
Plastikas,Neries krantinė 4,"2,5"
Plastikas,Neries krantinė 2,"2,5"
Plastikas,Linkuvos g. 55 Sąjungos aikštė,"2,5"
Plastikas,Lampėdžių 10,"2,5"
Plastikas,Sąjungos a. 5,"2,3"
Plastikas,Stulginskio g. 54,"2,3"
Plastikas,Stulginskio g. 61,"2,5"
Plastikas,Varnių 30,"2,5"
Plastikas,Griniaus 9 - 13,"2,5"
Plastikas,Bijūnų g. 14,"2,3"
Plastikas,Varnių 45,"2,3"
Plastikas,Varnių 39,"2,5"
Plastikas,Varnių 35,"2,5"
Plastikas,Vytenio g. 10,"2,5"
Plastikas,Vytenio g. 18,"2,5"
Plastikas,Demokratų g. Norfa 34,"2,5"
Plastikas,Demokratų g. 31,"2,5"
Plastikas,Kulvos g. 14A,"2,5"
Plastikas,Strazdo 83,"2,3"
Plastikas,Stazdo už 75 namo,"2,5"
Plastikas,Vienožinskio - Pagėgių,"2,5"
Plastikas,Stulginskio g. 67,"2,5"
Plastikas,Ramygalos g. 45,"2,3"
Plastikas,Ramygalos g. 9,"2,5"
Plastikas,Demokratų g. 48,"2,5"
Plastikas,Neries krantinė 25,"2,5"
Plastikas,Varnių g. 49,"2,5"
Plastikas,Tilžės g. 11,"2,5"
Plastikas,Mūšos g. 6,"2,5"
Plastikas,Raudondvario pl. 174,"2,5"
Plastikas,Raudondvario pl. 198,"2,5"
Plastikas,Raudondvario pl. 200,"2,5"
Plastikas,Įkalnės akligatvis 10,"2,3"
Plastikas,Raudondvario pl. 288a,"2,3"
Plastikas,Antagynės g. 11,"2,3"
Plastikas,Lampėdžių aikštelė,"2,3"
Plastikas,Lampėdžiai Gintaro,"2,5"
Plastikas,Raudondvario pl. 226,"2,5"
Plastikas,Raudondvario pl. 131 Sanitex,"2,5"
Plastikas,Raudondvario pl. 113,"2,5"
Plastikas,Brastos g. 15,"1,1"
Plastikas,Brastos g. 26,"2,5"
Plastikas,Radvilų dvaro/Naujelio g.,"2,5"
Plastikas,Lampėdžių kempingas,"2,5"
Plastikas,Širvintų g. 15,"2,5"
Plastikas,Seinų g. 6,"2,3"
Plastikas,Savanorių pr. 46,"2,5"
Plastikas,Aušros g. 1,"2,3"
Plastikas,Aušros g. 20,"1,1"
Plastikas,Lietuvių g. 2,"1,1"
Plastikas,Lietuvių g. 20,"1,1"
Plastikas,Aušros g. 40,"2,5"
Plastikas,Perkūno al. 3,"2,5"
Plastikas,Vaižganto g. 7,"2,5"
Plastikas,Aukštaičių g. 78,"2,5"
Plastikas,Kudirkos g. 19,"2,5"
Plastikas,Petrausko g. 13,"2,5"
Plastikas,Savanorių pr. 178,"2,3"
Plastikas,Savanorių pr. 204,"2,3"
Plastikas,Taikos pr. 2,"2,3"
Plastikas,Taikos pr. 6A,"2,5"
Plastikas,Žemgulio - Dirvos,"2,5"
Plastikas,Žemgulio g. 25a     nauji molokai,3
Plastikas,Basanavičiaus al. 43,"2,5"
Plastikas,Basanavičiaus al. 26,"2,5"
Plastikas,Radvilėnų pl. 3,"2,5"
Plastikas,Radvilėnų pl. 6,"2,5"
Plastikas,Tvirtovės al. 88,"2,5"
Plastikas,Savanorių pr. 235,"2,3"
Plastikas,Archyvo g. 48,"2,5"
Plastikas,Kalniečių g. 126,"2,5"
Plastikas,Kačanausko g. 14,"2,3"
Plastikas,Kačanausko g. 18,"2,3"
Plastikas,Uosio g. 7,"2,5"
Plastikas,Purėnų g. 2,"2,5"
Plastikas,Kalniečių g. 219,"2,5"
Plastikas,Kalniečių g. 186,"2,3"
Plastikas,Savanorių pr. 287,"2,3"
