Paslaugų pavadinimas,Seniunija,Gatvė \ Objektas,Plotas,Mato vnt.
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,KUZMOS V.,453,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,LAISVĖS AL. IR NEPRIKLAUSOMYBĖS A.,54693,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,LAISVĖS AL. (MIESTO SODAS),7709,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,LAISVĖS AL. (SKVERAS PRIE SAVIVALDYBĖS),2229,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,LAISVĖS AL.-KRĖVOS G.-TRAKŲ G. KAMPAS SU SKVERU,589,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,LIETUVIŲ,650,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,MACKEVIČIAUS A.,1224,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,MAIRONIO,4338,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,MAPU A.,462,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,MUITINĖS,804,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,MUZIEJAUS,649,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,NAUGARDO,387,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,NEMUNO,1776,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,OŽEŠKIENĖS E.,4673,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,PALANGOS,457,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,PARODOS,3544,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,PILIES,443,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,PRIEPLAUKOS KR.,462,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,PUTVINSKIO V. IR ANTINIO R. SKVERAS,296,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,RAGUVOS,323,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,ROTUŠĖS A.,10657,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,SANTAKOS PARKO TAKAI,15316,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,SAPIEGOS L.,1408,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,SAPIEGOS L. (SAVIVALDYBĖS KIEMAS),2941,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,SAVANORIŲ PR. ,6500,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,SLADKEVIČIAUS V.,446,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,ŠAUKLIŲ,1975,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,ŠV. GERTRŪDOS,4552,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,TAKAS (KARALIAUS MINDAUGO PR.-KĘSTUČIO),542,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,TOTORIŲ,1039,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,TRAKŲ,5047,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,TUNELIO VIADUKAS PER GELEŽINKELĮ SU LAIPTAIS Į PERONĄ,1001,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VAIŽGANTO,2986,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VALANČIAUS M.,1212,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VASARIO 16-OSIOS,1860,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,DVIRAČIŲ TAKAS PO P. VILEIŠIO TILTU,1913,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VILEIŠIO P. TILTAS,1590,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VILNIAUS,13878,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VYTAUTO DIDŽIOJO TILTAS,1004,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VYTAUTO PARKO TAKAI,6480,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VYTAUTO PARKO II-OJO TAKAI,4610,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,VYTAUTO PR. (RAMYBĖS PARKAS),16429,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,ZAMENHOFO L.,426,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,ŽEMAIČIŲ G. KALNAS,659,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,"AUTOBUSŲ  SUST.AIKŠTĖ ""KAUNO PILIS""",2400,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,SANTAKOS RIEDUČIŲ AIKŠTELĖ,3125,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",CENTRO SENIŪNIJA,STEIGIAMOJO SEIMO  A.  ,3985,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,BIRŽELIO 23-OSIOS G.,3922,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,DRAUGYSTĖS G.,900,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,DRAUGYSTĖS PARKO TAKAI,13465,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,DVIRAČIŲ TAKAS KALNIEČIŲ PARKAS - DRAUGYSTĖS PARKAS,3000,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,KOVO 11-OSIOS G.,8885,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,KRĖVĖS PR.,14780,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,PRAMONĖS PR.,11112,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,SAVANORIŲ PR.,9000,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",DAINAVOS SENIŪNIJA,TAIKOS PR.,17250,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,AŠIGALIO,3855,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,DVIRAČIŲ TAKAS PRIE KLEBONIŠKIO G.,5500,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,GELEŽINIO VILKO,3366,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,JONAVOS,4900,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,KLEBONIŠKIO MIŠKO DVIRAČIŲ TAKAS,12650,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,LANDSBERGIO-ŽEMKALNIO V.,4385,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,LUKŠIO P.,10471,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,PLECHAVIČIAUS P.,3458,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,RAMANAUSKO-VANAGO A. ,1069,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,SAVANORIŲ PR.,7500,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,SUKILĖLIŲ,6000,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,ŠIAURĖS PR.,11400,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,ŠKIRPOS K.,2893,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,ŽUKAUSKO S. IR TAKAS NUO ŽUKAUSKO S. IKI LANDSBERGIO-ŽEMKALNIO V.,9835,m² 
"SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ, LAPŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ)  VALYMAS NUO TAKŲ, ŠALIGATVIŲ IR AIKŠČIŲ(SĄŠLAVŲ) IŠVEŽIMĄ  (19)",EIGULIŲ SENIŪNIJA,UKMERGĖS,4702,m² 
