SENIUNIJA;INFO;GATVE;DANGA;DARBAS;MATAS;id
Aleksoto;APÞVALGOS AIKÐTELË;ALEKSOTO;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;1
Aleksoto;;BITININKØ;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;2
Aleksoto;;JUODELYNËS;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;3
Aleksoto;;NAUGARDIÐKIØ PARKAS;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;4
Aleksoto;KAPINËS;SENIAVOS PL.;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;5
Aleksoto;;TECHNIKUMO;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;6
Aleksoto;;VINÈØ;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;7
Aleksoto;APÞVALGOS AIKÐTELË;ALEKSOTO;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;8
Aleksoto;;BITININKØ;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;9
Aleksoto;;JUODELYNËS;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;10
Aleksoto;;NAUGARDIÐKIØ PARKAS;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;11
Aleksoto;KAPINËS;SENIAVOS PL.;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;12
Aleksoto;;TECHNIKUMO;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;13
Aleksoto;;VINÈØ;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;14
Aleksoto;;ALEKSOTO APÞVALGOS AIKÐTE;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;15
Aleksoto;;AVIACIJOS LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;16
Aleksoto;LAIPTAI;GARLIAVOS TAKAS;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;17
Aleksoto;LAIPTAI;KYBARTØ;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;18
Aleksoto;LAIPTAI;MARVELËS;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;19
Aleksoto;NAUJIEJI LAIPTAI;MARVELËS;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;20
Aleksoto;LAIPTAI;MINKOVSKIØ H.IR O.;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;21
Aleksoto;LAIPTAI;PAUPELIO;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;22
Aleksoto;;SUVALKIEÈIØ LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;23
Aleksoto;LAIPTAI;SVAJONIØ AL.;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;24
Aleksoto;I LAIPTAI;VEIVERIØ;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;25
Aleksoto;II LAIPTAI;VEIVERIØ;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;26
Aleksoto;LAIPTAI PRIE NR. 84;VEIVERIØ;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;27
Aleksoto;LAIPTAI;VIDUKALNIO;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;28
Aleksoto;;VYTAUTO LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;29
Aleksoto;LAIPTAI;ÈIURLIONIO M.K. TILTAS;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;30
Aleksoto;;ALEKSOTO APÞVALGOS AIKÐTE;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;31
Aleksoto;19A;ALÐËNØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;32
Aleksoto;;AVIACIJOS LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;33
Aleksoto;6;BITININKØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;34
Aleksoto;33;BITININKØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;35
Aleksoto;prieð 48;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;36
Aleksoto;20;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;37
Aleksoto;21;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;38
Aleksoto;48;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;39
Aleksoto;68;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;40
Aleksoto;39;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;41
Aleksoto;69;DARIAUS S.IR GIRËNO S.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;42
Aleksoto;;DVARØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;43
Aleksoto;prieð 60;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;44
Aleksoto;prie Þilibero Þ.E;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;45
Aleksoto;prie Þilibero Þ.E.;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;46
Aleksoto;uþ Vilties g. sankryþos;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;47
Aleksoto;prie Veiveriø sankryþos;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;48
Aleksoto;50;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;49
Aleksoto;41;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;50
Aleksoto;72;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;51
Aleksoto;43;EUROPOS PR.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;52
Aleksoto;LAIPTAI;GARLIAVOS TAKAS;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;53
Aleksoto;9;JIESIOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;54
Aleksoto;10;JIESIOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;55
Aleksoto;I-asis fortas;JULIJANAVOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;56
Aleksoto;Suvalkieèiø g;JULIJANAVOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;57
Aleksoto;Suvalkieèiø g.;JULIJANAVOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;58
Aleksoto;19;JUODELYNËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;59
Aleksoto;12;JUODELYNËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;60
Aleksoto;prieð 44;KALVARIJOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;61
Aleksoto;8;KALVARIJOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;62
Aleksoto;31;KALVARIJOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;63
Aleksoto;44;KALVARIJOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;64
Aleksoto;prie pervaþos;KREIDOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;65
Aleksoto;LAIPTAI;KYBARTØ;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;66
Aleksoto;44;LAZDIJØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;67
Aleksoto;prie laiptø;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;68
Aleksoto;uþ degalinës;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;69
Aleksoto;prieð laiptus;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;70
Aleksoto;prieð degalinæ;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;71
Aleksoto;uþ Bubliø g. sankryþos;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;72
Aleksoto;35;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;73
Aleksoto;16;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;74
Aleksoto;58;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;75
Aleksoto;173;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;76
Aleksoto;LAIPTAI;MARVELËS;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;77
Aleksoto;NAUJIEJI LAIPTAI;MARVELËS;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;78
Aleksoto;121;MARVELËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;79
Aleksoto;prieð 60;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;80
Aleksoto;prieð 87;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;81
Aleksoto;52;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;82
Aleksoto;73;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;83
Aleksoto;85;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;84
Aleksoto;41A;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;85
Aleksoto;LAIPTAI;MINKOVSKIØ H.IR O.;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;86
Aleksoto;112;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;87
Aleksoto;154;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;88
Aleksoto;;MINKOVSKIØ H.IR O.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;89
Aleksoto;;MINKOVSKIØ H.IR O.;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;90
Aleksoto;prieð 1;PABRËÞOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;91
Aleksoto;prie Vaðkø g. sankryþos;PABRËÞOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;92
Aleksoto;2;PABRËÞOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;93
Aleksoto;40;PABRËÞOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;94
Aleksoto;21;PABRËÞOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;95
Aleksoto;1;PABRËÞOS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;96
Aleksoto;LAIPTAI;PAUPELIO;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;97
Aleksoto;prieð 6;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;98
Aleksoto;prieð 51;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;99
Aleksoto;prieð 12A;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;100
Aleksoto;51;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;101
Aleksoto;22;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;102
Aleksoto;79;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;103
Aleksoto;11;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;104
Aleksoto;12A;PILIAKALNIO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;105
Aleksoto;prieð Astrø g. 2;SENIAVOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;106
Aleksoto;prieð Gvazdikø g. 3;SENIAVOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;107
Aleksoto;52;SENIAVOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;108
Aleksoto;53;SENIAVOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;109
Aleksoto;8G;SENIAVOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;110
Aleksoto;15;SENIAVOS PL.;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;111
Aleksoto;;SUVALKIEÈIØ LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;112
Aleksoto;LAIPTAI;SVAJONIØ AL.;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;113
Aleksoto;Bûrio g.;TECHNIKUMO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;114
Aleksoto;Þvalgø g.;TECHNIKUMO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;115
Aleksoto;Technikumo g.;TECHNIKUMO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;116
Aleksoto;Vaitapilës g.;TECHNIKUMO;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;117
Aleksoto;Vytauto Didþiojo tiltas;UÞNEMUNËS;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;118
Aleksoto;prieð 26;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;119
Aleksoto;prieð 148;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;120
Aleksoto;prie Europos pr. sankryþos;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;121
Aleksoto;prie Minkovskiø H. ir O. sankryþos;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;122
Aleksoto;61;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;123
Aleksoto;23;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;124
Aleksoto;55;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;125
Aleksoto;97;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;126
Aleksoto;190;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;127
Aleksoto;191;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;128
Aleksoto;LAIPTAI PRIE NR. 84;VEIVERIØ;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;129
Aleksoto;LAIPTAI I;VEIVERIØ;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;130
Aleksoto;LAIPTAI II;VEIVERIØ;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;131
Aleksoto;150;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;132
Aleksoto;134;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;133
Aleksoto;106;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;134
Aleksoto;148;VEIVERIØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;135
Aleksoto;LAIPTAI;VIDUKALNIO;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;136
Aleksoto;prieð 3;VILTIES;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;137
Aleksoto;3;VILTIES;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;138
Aleksoto;1;VINÈØ;VT stotelë;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;139
Aleksoto;;VYTAUTO LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;140
Aleksoto;LAIPTAI;ÈIURLIONIO M.K. TILTAS;Laiptai;Laiptø prieþiûra (áskaitant susikaupusiø dulkiø, þemiø, ðiukðliø, neðvarumø (sàðlavø) iðveþimà);m2;141
Aleksoto;;EUROPOS PR.;Gatvë;Mechanizuotas gatviø laistymas;m2;142
Aleksoto;;MINKOVSKIØ H.IR O.;Gatvë;Mechanizuotas gatviø laistymas;m2;143
Aleksoto;;UÞNEMUNËS;Gatvë;Mechanizuotas gatviø laistymas;m2;144
Aleksoto;;VEIVERIØ;Gatvë;Mechanizuotas gatviø laistymas;m2;145
Aleksoto;TILTAS;ÈIURLIONIO M.K.;Gatvë;Mechanizuotas gatviø laistymas;m2;146
Aleksoto;NUO SENIAVOS G. IKI ÐEÐTOKØ G.;AKACIJØ;Gatvë;Mechanizuotas gatvës barstymas ðlapios druskos miðiniu;m2;147
Aleksoto;NUO GVAZDIKØ IKI KALKINËS;ALYVØ;Gatvë;Mechanizuotas gatvës barstymas ðlapios druskos miðiniu;m2;148
Aleksoto;;ALÐËNØ;Gatvë;Mechanizuotas gatvës barstymas ðlapios druskos miðiniu;m2;149
Aleksoto;NUO KREIVOSIOS G. IKI ANTANAVOS G.;ANTAKALNIO;Gatvë;Mechanizuotas gatvës barstymas ðlapios druskos miðiniu;m2;150
Aleksoto;;ANTANAVOS;Gatvë;Mechanizuotas gatvës barstymas ðlapios druskos miðiniu;m2;151
Aleksoto;IR GALINIS APSISUKIMAS;BITININKØ;Gatvë;Mechanizuotas gatvës barstymas ðlapios druskos miðiniu;m2;152
